director,id
john lasseter,7879
joe johnston,4945
howard deutch,26502
forest whitaker,2178
charles shyer,56106
michael mann,638
sydney pollack,2226
peter hewitt,18357
peter hyams,37710
martin campbell,10702
rob reiner,3026
mel brooks,14639
simon wells,21879
oliver stone,1152
renny harlin,16938
martin scorsese,1032
ang lee,1614
allison anders,3110
alexandre rockwell,3111
robert rodriguez,2294
quentin tarantino,138
steve oedekerk,4489
joseph ruben,52629
barry sonnenfeld,5174
jon amiel,15148
richard donner,7187
victor salva,56349
mike figgis,6111
oliver parker,56710
lesli linka glatter,15798
roger michell,7017
jean-pierre jeunet,2419
marc caro,13680
zhang yimou,607
john n. smith,60295
terry gilliam,280
jean-jacques annaud,2352
chris noonan,58137
christopher hampton,12952
tim robbins,504
stephen low,77867
andy tennant,17167
amy heckerling,57434
darrell james roodt,16730
richard loncraine,33315
albert hughes,11447
allen hughes,11448
michael hoffman,52405
paul w.s. anderson,4014
gus van sant,5216
jocelyn moorhouse,3047
david fincher,7467
mike gabriel,65530
eric goldberg,65531
patricia rozema,55439
bryan singer,9032
richard w. munchkin,100505
woody allen,1243
gianni amelio,128107
holly goldberg sloan,71338
ulu grosbard,140354
robert tinnell,30586
jodie foster,1038
michael radford,28898
robert lepage,38527
frank oz,7908
john schlesinger,19304
stephen herek,18356
paris barclay,45649
bill bennett,49361
jason bloom,57870
farhad mann,69721
james foley,15890
josiane balasko,35137
f. gary gray,37932
andrew sipes,70850
noah baumbach,5656
claude lelouch,16862
michael goldenberg,10296
steve miner,58712
christian duguay,25735
susanne ofteringer,1080309
sean penn,2228
brian gibson,18069
jafar panahi,120229
gary fleder,5501
marleen gorris,13496
tim reid,27771
henry jaglom,117075
philip haas,55038
ridley scott,578
ken kwapis,29009
penelope spheeris,58448
john badham,12840
john duigan,72624
stephen frears,3224
wes craven,5140
ted demme,34849
john woo,11401
kenneth branagh,11181
mathieu kassovitz,2406
nick broomfield,92561
harold becker,23213
wes anderson,5655
nick castle,14692
