id,title,vote_average,vote_count,animation,comedy,family,adventure,fantasy,romance,drama,action,crime,thriller,horror,history,science fiction,mystery,war,foreign,music,documentary,western,tv movie
862,Toy Story,7.7,5415.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8844,Jumanji,6.9,2413.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15602,Grumpier Old Men,6.5,92.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31357,Waiting to Exhale,6.1,34.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11862,Father of the Bride Part II,5.7,173.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,Heat,7.7,1886.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11860,Sabrina,6.2,141.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45325,Tom and Huck,5.4,45.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9091,Sudden Death,5.5,174.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
710,GoldenEye,6.6,1194.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9087,The American President,6.5,199.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12110,Dracula: Dead and Loving It,5.7,210.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21032,Balto,7.1,423.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10858,Nixon,7.1,72.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1408,Cutthroat Island,5.7,137.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
524,Casino,7.8,1343.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4584,Sense and Sensibility,7.2,364.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Four Rooms,6.5,539.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9273,Ace Ventura: When Nature Calls,6.1,1128.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11517,Money Train,5.4,224.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8012,Get Shorty,6.4,305.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1710,Copycat,6.5,199.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9691,Assassins,6.0,394.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12665,Powder,6.3,143.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
451,Leaving Las Vegas,7.1,365.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16420,Othello,7.0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9263,Now and Then,6.6,91.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17015,Persuasion,7.4,36.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
902,The City of Lost Children,7.6,308.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37557,Shanghai Triad,6.5,17.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9909,Dangerous Minds,6.4,249.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
63,Twelve Monkeys,7.4,2470.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
78802,Wings of Courage,6.8,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9598,Babe,6.0,756.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47018,Carrington,6.4,16.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
687,Dead Man Walking,7.3,350.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139405,Across the Sea of Time,3.5,2.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
33689,It Takes Two,6.1,149.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9603,Clueless,6.9,828.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34615,"Cry, the Beloved Country",6.7,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31174,Richard III,6.9,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11443,Dead Presidents,6.6,80.0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
35196,Restoration,6.3,30.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9312,Mortal Kombat,5.4,452.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
577,To Die For,6.7,177.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11861,How To Make An American Quilt,6.5,38.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
